Index,Time,((gimbal).pitch_speed).measure_,((gimbal).pitch_speed).output_
0,0,-0.005401955,0.063021019
1,0.049,0.010577011,0.06466613
2,0.096,-0.00646722,0.062991135
3,0.117,0.004185425,0.067974396
4,0.138,-0.011793543,0.070697494
5,0.172,-0.009663014,0.066916503
6,0.206,0.00312016,0.063469723
7,0.238,0.007381218,0.063488878
8,0.259,0.020164391,0.067778915
9,0.28,0.020164391,0.065171816
10,0.309,-0.004336691,0.061704081
11,0.33,-0.004336691,0.061138105
12,0.352,-0.001140898,0.064110227
13,0.373,0.01270754,0.061855245
14,0.395,-0.008597749,0.060178455
15,0.419,-0.002206162,0.061849657
16,0.453,0.005250689,0.06354361
17,0.479,0.005250689,0.065173052
18,0.507,0.006315954,0.062862188
19,0.534,0.016968599,0.06126976
20,0.554,0.008446482,0.065289356
21,0.575,-0.013924072,0.06971544
22,0.599,0.006315954,0.068887435
23,0.62,-0.001140898,0.067938156
24,0.648,0.004185425,0.069068782
25,0.694,0.002054896,0.069177687
26,0.732,-0.00646722,0.068999246
27,0.753,-0.003271427,0.067397691
28,0.78,-0.001140898,0.066852786
29,0.802,-0.001140898,0.072169229
30,0.823,0.004185425,0.069692224
31,0.848,-0.012858807,0.072500981
32,0.869,-0.008597749,0.077699944
33,0.89,-0.008597749,0.075411186
34,0.925,-0.002206162,0.068946593
35,0.979,-0.003271427,0.073372401
36,1.001,0.018033864,0.070880629
37,1.023,-0.005401955,0.076682612
38,1.044,0.007381218,0.07541658
39,1.065,-0.002206162,0.07430245
40,1.091,-0.007532484,0.078392811
41,1.113,0.004185425,0.075038366
42,1.14,-0.011793543,0.073668659
43,1.166,0.007381218,0.074455522
44,1.196,-0.007532484,0.077840045
45,1.243,0.011642275,0.078642562
46,1.264,-0.003271427,0.075517513
47,1.288,0.005250689,0.074410208
48,1.309,-0.010728278,0.075596415
49,1.331,-0.008597749,0.075205237
50,1.355,-0.012858807,0.078687616
51,1.376,-0.014989336,0.086001225
52,1.398,-0.005401955,0.078438029
53,1.436,0.008446482,0.0798271
54,1.466,-0.007532484,0.086227268
55,1.502,0.010577011,0.083388001
56,1.523,-0.00646722,0.083169252
57,1.545,-0.001140898,0.085779868
58,1.566,-0.00646722,0.085458465
59,1.587,-0.014989336,0.085674107
60,1.609,-0.012858807,0.083810031
61,1.63,-0.007532484,0.081046455
62,1.652,0.027621243,0.087071516
63,1.683,0.009511746,0.086982071
64,1.736,0.014838069,0.08673051
65,1.757,-0.012858807,0.08467263
66,1.779,0.004185425,0.082354635
