Index,Time,((shoot).fric_motor_[0]).spd_,((shoot).fric_speed_[0]).ref_
0,0.000000,0,-0
1,0.035000,0,-0
2,0.058000,0,-0
3,0.081000,0,-0
4,0.104000,0,-0
5,0.126000,0,-0
6,0.152000,0,-0
7,0.175000,0,-0
8,0.198000,0,-0
9,0.220000,0,-0
10,0.243000,0,-0
11,0.266000,0,-0
12,0.289000,0,-0
13,0.312000,0,-0
14,0.334000,0,-0
15,0.360000,0,-0
16,0.381000,0,-0
17,0.403000,0,-0
18,0.430000,0,-0
19,0.452000,0,-0
20,0.476000,0,-0
21,0.498000,0,-0
22,0.521000,0,-0
23,0.543000,0,-0
24,0.565000,0,-0
25,0.594000,0,-0
26,0.620000,0,-0
27,0.643000,0,-0
28,0.674000,0,-0
29,0.695000,0,-0
30,0.718000,0,-0
31,0.740000,0,-0
32,0.762000,0,-0
33,0.785000,0,-0
34,0.807000,0,-0
35,0.830000,0,-0
36,0.852000,0,-0
37,0.881000,0,-0
38,0.906000,0,-0
39,0.929000,0,-0
40,0.951000,0,-0
41,0.980000,0,-0
42,1.003000,0,-0
43,1.025000,0,-0
44,1.048000,0,-0
45,1.071000,0,-0
46,1.094000,0,-0
47,1.118000,0,-0
48,1.140000,0,-0
49,1.166000,0,-0
50,1.188000,0,-0
51,1.211000,0,-0
52,1.233000,0,-0
53,1.256000,0,-0
54,1.279000,0,-0
55,1.302000,0,-0
56,1.324000,0,-0
57,1.346000,0,-0
58,1.370000,0,-0
59,1.392000,0,-0
60,1.419000,0,-0
61,1.441000,0,-0
62,1.463000,0,-0
63,1.485000,0,-0
64,1.507000,0,-0
65,1.530000,0,-0
66,1.551000,0,-0
67,1.574000,0,-0
68,1.597000,0,-0
69,1.622000,0,-0
70,1.645000,0,-0
71,1.671000,0,-0
72,1.693000,0,-0
73,1.715000,0,-0
74,1.738000,0,-0
75,1.760000,0,-0
76,1.783000,0,-0
77,1.805000,0,-0
78,1.828000,0,-0
79,1.851000,0,-0
80,1.876000,0,-0
81,1.902000,0,-0
82,1.928000,0,-0
83,1.950000,0,-0
84,1.971000,0,-0
85,1.994000,0,-0
86,2.016000,-1388,-6000
87,2.039000,-3093,-6000
88,2.062000,-4906,-6000
89,2.084000,-6057,-6000
90,2.107000,-5973,-6000
91,2.132000,-6015,-6000
92,2.156000,-5998,-6000
93,2.182000,-6019,-6000
94,2.208000,-6019,-6000
95,2.231000,-6011,-6000
96,2.254000,-5985,-6000
97,2.276000,-5981,-6000
98,2.299000,-6008,-6000
99,2.321000,-6015,-6000
100,2.344000,-5994,-6000
101,2.367000,-5996,-6000
102,2.389000,-6004,-6000
103,2.416000,-6013,-6000
104,2.439000,-6008,-6000
105,2.462000,-5971,-6000
106,2.485000,-5998,-6000
107,2.507000,-6027,-6000
108,2.530000,-6002,-6000
109,2.552000,-5983,-6000
110,2.574000,-6008,-6000
111,2.597000,-6019,-6000
112,2.620000,-6004,-6000
113,2.649000,-5977,-6000
114,2.675000,-6025,-6000
115,2.697000,-6013,-6000
116,2.719000,-5975,-6000
117,2.742000,-5983,-6000
118,2.765000,-6021,-6000
119,2.788000,-5969,-6000
120,2.811000,-5973,-6000
